word,phonetic,translation,tag
a,ei,"第一个字母 A; 一个; 第一的\r\nart. [计] 累加器, 加法器, 地址, 振幅, 模拟, 区域, 面积, 汇编, 组件, 异步",zk
ability,ә'biliti,"n. 能力, 才干\n[经] 能力, 才能",zk
able,'eibl,"a. 能干的, 能够的",zk
about,ә'baut,"prep. 在...周围, 大约, 有关, 关于\nadv. 大约, 四处, 在附近, 周围",zk
above,ә'bʌv,"prep. 在上方, 超出\nadv. 在上面\na. 上述的, 上面的",zk
abroad,ә'brɒ:d,"adv. 往国外, 到室外, 到处\na. 往国外的, 在室外的, 广泛四散的",zk
absent,'æbsәnt,"a. 缺席的, 不在的, 缺乏的, 漫不经心的\nvt. 使缺席",zk
accent,'æksәnt,"n. 重音, 口音, 特点, 注重点\nvt. 重读, 加重音号于, 强调",zk
accept,әk'sept,"vt. 接受, 承认, 同意, 相信, 赞成, 承担, 承兑, 采纳, 接纳, 容忍\nvi. 同意",zk
accident,'æksidәnt,"n. 意外事件, 机遇, 事故, 次要方面\n[化] 意外事故; 事故",zk
ache,eik,"n. 疼痛\nvi. 痛, 哀怜, 渴望",zk
achieve,ә'tʃi:v,"vt. 完成, 达到\nvi. 如愿以偿",zk
across,ә'krɒs,"prep. 越过, 穿过, 与...相交叉, 在...的对面\nadv. 交叉, 到另一边, 在对面, 成十字",zk
act,ækt,"n. 行动, 行为, 幕, 法案\nvi. 行动, 表演, 假装, 见效, 表现, 担当\nvt. 扮演, 装作\n[计] 先进通信技术, 先进计算机工艺, 自动代码翻译技术",zk
action,'ækʃәn,"n. 行动, 活动, 动作, 作用, 战斗, 行为, 诉讼\nvt. 对...起诉\n[计] 方式",zk
active,'æktiv,"a. 活跃的, 起作用的, 积极的, 有效的, 主动的, 活性的, 现行的, 现役的\nn. 主动语态, 积极分子",zk
activity,æk'tiviti,"n. 活动, 行动, 活跃, 活力\n[计] 活动",zk
add,æd,"vt. 增加, 添加, 附带说明, 计算...总和\nvi. 做加法, 积累而成, 增添\n[计] 加法",zk
